Date,Revenue
2021-01-01,18648.77
2021-02-01,18902.24
2021-03-01,22631.91
2021-04-01,22320.77
2021-05-01,22585.75
2021-06-01,20524.86
2021-07-01,19104.52
2021-08-01,17249.44
2021-09-01,15699.63
2021-10-01,17239.61
2021-11-01,18239.15
2021-12-01,25937.63
2022-01-01,24363.99
2022-02-01,24002.99
2022-03-01,27416.18
2022-04-01,27469.66
2022-05-01,27514.91
2022-06-01,24545.27
2022-07-01,24301.75
2022-08-01,22469.57
2022-09-01,21095.65
2022-10-01,22047.63
2022-11-01,22915.5
2022-12-01,31155.09
2023-01-01,28917.06
2023-02-01,28895.87
2023-03-01,32953.03
2023-04-01,32950.2
2023-05-01,32975.58
2023-06-01,30789.5
2023-07-01,29485.92
2023-08-01,27757.22
2023-09-01,25810.97
2023-10-01,27751.28
2023-11-01,28026.4
2023-12-01,36885.25
