Date,Transaction_ID,Product_Category,Revenue,Units_Sold
2021-01-01,TRX_782568,Electronics,3.17,1
2021-01-01,TRX_519139,Home & Garden,5.9,1
2021-01-01,TRX_691491,Home & Garden,0.35,1
2021-01-01,TRX_435441,Sports,1.34,1
2021-01-01,TRX_117772,Toys,35.98,2
2021-01-01,TRX_338389,Home & Garden,27.98,1
2021-01-01,TRX_451296,Clothing,0.04,1
2021-01-01,TRX_764468,Clothing,25.29,1
2021-01-01,TRX_314432,Electronics,8.5,1
2021-01-01,TRX_179973,Electronics,16.88,1
2021-01-01,TRX_553449,Toys,5.06,1
2021-01-01,TRX_646900,Sports,6.04,1
2021-01-01,TRX_864357,Sports,5.6,1
2021-01-01,TRX_235832,Clothing,9.17,1
2021-01-01,TRX_504772,Electronics,1.25,1
2021-01-01,TRX_435914,Toys,0.25,1
2021-01-01,TRX_553105,Home & Garden,3.07,1
2021-01-01,TRX_648884,Electronics,10.17,1
2021-01-01,TRX_159182,Electronics,1.88,1
2021-01-01,TRX_753091,Sports,9.33,1
2021-01-01,TRX_571828,Clothing,29.21,1
2021-01-01,TRX_408557,Clothing,0.82,1
2021-01-01,TRX_980179,Home & Garden,9.31,1
2021-01-01,TRX_244539,Clothing,4.89,1
2021-01-01,TRX_557373,Home & Garden,16.89,1
2021-01-01,TRX_855801,Electronics,1.63,1
2021-01-01,TRX_275211,Electronics,9.84,1
2021-01-01,TRX_365798,Electronics,15.18,1
2021-01-01,TRX_829532,Electronics,24.13,1
2021-01-01,TRX_732259,Electronics,9.59,1
2021-01-01,TRX_957463,Clothing,5.73,1
2021-01-01,TRX_712492,Home & Garden,8.02,1
2021-01-01,TRX_844149,Home & Garden,16.94,1
2021-01-01,TRX_621998,Home & Garden,7.05,1
2021-01-01,TRX_175388,Sports,0.26,1
2021-01-01,TRX_332601,Electronics,22.29,1
2021-01-01,TRX_205111,Toys,9.75,1
2021-01-01,TRX_398185,Toys,9.41,1
2021-01-01,TRX_296553,Clothing,2.03,1
2021-01-01,TRX_295246,Electronics,8.97,1
2021-01-01,TRX_903446,Clothing,4.17,1
2021-01-01,TRX_168388,Home & Garden,8.78,1
2021-01-01,TRX_385855,Home & Garden,0.94,1
2021-01-01,TRX_871148,Home & Garden,8.94,1
2021-01-01,TRX_642015,Electronics,62.05,1
2021-01-01,TRX_194018,Clothing,0.41,1
2021-01-01,TRX_751176,Home & Garden,31.52,1
2021-01-01,TRX_544717,Electronics,4.36,1
2021-01-01,TRX_176329,Sports,17.06,1
2021-01-02,TRX_489954,Clothing,12.6,1
2021-01-02,TRX_136035,Sports,7.13,1
2021-01-02,TRX_714805,Clothing,6.36,1
2021-01-02,TRX_557828,Clothing,5.85,1
2021-01-02,TRX_985296,Electronics,13.35,1
2021-01-02,TRX_134594,Home & Garden,8.12,1
2021-01-02,TRX_173861,Electronics,24.79,1
2021-01-02,TRX_664749,Electronics,15.4,1
2021-01-02,TRX_893153,Electronics,1.01,1
2021-01-02,TRX_303981,Sports,14.21,1
2021-01-02,TRX_960952,Clothing,4.4,1
2021-01-02,TRX_829182,Clothing,12.49,1
2021-01-02,TRX_793045,Toys,15.85,1
2021-01-02,TRX_790658,Clothing,3.65,1
2021-01-02,TRX_541460,Electronics,8.49,1
2021-01-02,TRX_117347,Electronics,2.94,1
2021-01-02,TRX_582315,Sports,0.75,1
2021-01-02,TRX_308524,Sports,6.61,1
2021-01-02,TRX_807548,Electronics,6.27,1
2021-01-02,TRX_571082,Home & Garden,75.08,2
2021-01-02,TRX_827506,Clothing,8.22,1
2021-01-02,TRX_667201,Clothing,5.64,1
2021-01-02,TRX_543057,Electronics,12.08,1
2021-01-02,TRX_256104,Clothing,1.29,1
2021-01-02,TRX_816948,Electronics,45.35,2
2021-01-02,TRX_237478,Home & Garden,14.01,1
2021-01-02,TRX_721827,Home & Garden,19.55,1
2021-01-02,TRX_527387,Clothing,2.6,1
2021-01-02,TRX_898843,Toys,7.33,1
2021-01-02,TRX_535684,Sports,7.64,1
2021-01-02,TRX_282268,Clothing,23.99,1
2021-01-02,TRX_914037,Toys,0.02,1
2021-01-02,TRX_176373,Sports,4.98,1
2021-01-02,TRX_163037,Clothing,55.29,5
